,"(0, 0, 0)","(-0.1, 0, 0.1)","(-0.1, 0.1, 0)","(0.1, 0, -0.1)","(0.1, -0.1, 0)","(-0.1, 0.05, 0.05)","(0.1, -0.05, -0.05)","(0.05, -0.1, 0.05)","(-0.05, 0.1, -0.05)","(0.05, 0.05, -0.1)","(-0.05, -0.05, 0.1)"
65,1477.8497402857943,1460.634576019438,1478.0230829184725,1482.368853301346,1483.7286749236005,1480.9211377049267,1483.8135225204846,1472.2269139653747,1478.0230235770368,1483.81925187158,1483.4563318024134
66,1213.7033997471922,1218.0035094257028,1213.8924131123517,1218.652775517609,1218.3551803010293,1218.0568598287853,1217.4624327053261,1213.8923930679691,1217.457500408238,1218.3493157865933,1217.4584410144917
67,900.5977800144624,903.4953713646612,902.6033126820512,900.713052203341,876.1047895841541,904.2681506161875,902.610201539535,902.5902065677773,847.8549006377027,904.2681454659433,904.3785615164156
68,633.661612954392,633.339819384428,633.6517209775689,631.1860506417682,623.7518545006417,475.246209124267,633.5069096884581,633.3522078650187,633.6227083875049,633.5842249119696,633.5069095856745
69,459.938578791415,447.17890731719376,460.8444587065916,460.8432244175176,458.14088040235583,461.73407298506436,461.74833175580113,461.7474501432624,458.0796363047034,454.5335140719238,460.8099867654108
70,456.84033998058294,453.2712747097303,455.9471527773295,455.8871116052103,456.78454318129627,455.94638968500146,449.6102792931254,456.61686412270706,456.78454562007187,449.70220848401027,442.5640735503151
71,419.26251502390585,415.987026581165,418.44249326514733,417.6246404343903,417.6247294011841,415.984314541854,419.15468542778274,417.62244125243,419.05773164334823,412.7115382259532,392.3047726170487
72,134.67587988315677,134.93943712085564,132.82282198153217,133.877051278672,130.72257966926912,134.67122070887402,134.93084662117147,132.83100825594437,134.93724691160764,134.624443442764,134.80663040291734
73,254.37255543602117,254.59121539669943,253.62742262836744,253.60137460110278,254.3732816051744,252.60539045706776,254.55997917844618,254.11166012391826,253.62628385992414,252.63027023595436,254.62229785452138
74,428.16573318686113,425.19244832595194,428.3753976152988,428.1606506762945,428.5311247212028,428.58468097412447,428.1631170578579,428.47999460482174,426.87072303400737,428.15982356682673,428.5716013741679
75,330.2540724265393,330.2137487489169,328.96401741194376,329.9150489843777,328.9640174564247,328.95799882108474,329.60903747995826,329.5637318889336,324.8808822538126,329.9315464778039,329.6088714958428
76,353.75824451174276,342.8704726494717,353.9342734084562,351.169124537071,353.58728293724863,352.5440723766827,353.58863372933655,353.24288055754516,342.87294817876136,353.92309570267673,353.57655732444186
77,431.6142501114057,431.1927149799217,431.40332128746047,431.56126168830485,418.117162961227,429.9279654859157,431.1927516285557,431.56047315639387,0.0,424.87027723478224,429.921526762868
78,301.0663930409977,296.3622180871781,301.0296380200116,298.70682870593544,301.0294956339389,300.4783721558158,296.35940396154155,300.47837282473614,300.47116980880764,300.9928486637825,300.77171296867004
79,127.01786235784655,128.01020875404654,127.89146341869444,126.0177465314068,126.01774637456455,128.0180219869549,127.51705425214763,127.95539472912395,127.89271771324621,127.89277798307327,127.51748151134865
80,57.90498636886559,57.71083181371994,57.88030645491679,50.683619981127535,57.71099140767767,57.93706204065207,57.906788903914986,57.937281948980754,56.126856716827376,57.71106175480507,57.880724157620136
81,81.27216422667354,72.24199963979575,81.91710390707595,81.2722942282688,82.2387309959287,82.56203173634526,82.54189299373621,79.98308159094609,82.4816024118036,82.48177329803855,82.52175720107425
82,85.67416962512175,84.44741968440282,87.1415200884352,85.78274662856668,87.13954038778513,86.80712707050283,86.98199938490174,86.97948245899433,87.14389856865216,86.97449281066127,87.10623691398683
83,75.50320907267101,75.29217907125586,74.34538972235049,75.48291927774521,75.48584027140294,75.01819199278492,75.36961938840076,75.50269247594619,66.10781837502904,75.50328433776384,74.99670137399191
84,9.878737929736214,10.538298346702957,10.53786475914162,10.537450218091319,10.539037564754302,10.538685227682251,10.539393259671087,10.538979113098287,10.536365330785614,10.539444757849601,10.539952920590514
85,-319.9335036705331,-319.94856245770177,-319.94430398128515,-319.9464625541049,-319.9420010780733,-319.94778739485037,-319.9450340804328,-319.9421209554935,-319.9396587389288,-319.9454638293077,-319.9468706905837
86,-110.79612508818965,-110.8005299863815,-110.80464658466056,-110.80547735093192,-110.81080859929885,-110.80138149781915,-110.80390532680201,-110.80459666212575,-110.8028784915749,-110.8035514462708,-110.80312844234598
87,-265.0147795681723,-265.00039974454364,-265.01029215681467,-265.0034684777902,-265.0012019682524,-265.0126296855973,-265.0054313440685,-265.00504304307987,-265.0088739755706,-265.01194903658813,-265.00410806186943
88,-600.5642397987109,-600.563134684227,-600.5649520833329,-600.5681687406188,-600.5696586074519,-600.5604055636136,-600.5644834395969,-600.5692098124625,-600.5638373844556,-600.5623668416557,-600.5659908980799
89,-574.4218087882662,-574.4238934154266,-574.4238824983596,-574.4238654578487,-574.4249515397953,-574.4238564580147,-574.4238539138333,-574.42385343177,-574.4249487505664,-574.4238528443234,-574.4249483750712
90,192.01503903801523,193.52906080782418,193.48770805618534,187.4869751869137,193.44045599958798,193.52315313452073,190.50771769983567,193.15692192070372,193.5349670266594,193.44046119099596,193.15626950785466
91,175.82422731820594,170.9976499270552,175.82423805264887,176.16207075570327,176.1688880519061,176.339975320961,176.51374916671045,175.11873883373033,154.4495305208717,176.4914599774658,176.34136705739593
92,165.361299885106,165.28560091349146,164.08941761949535,165.3007697198123,165.3712585071952,160.21346335136002,165.38168221437678,164.73562988013117,165.3613476484653,165.0529844724845,82.69084110718845
93,368.793896987582,363.94561435659614,323.971280514847,368.80659163763755,358.4926931995721,370.0712573796976,369.52339253625155,368.80643641445306,368.8065914989545,370.25289201696796,370.16249566898034
94,333.4792796925668,333.1536153560245,333.46895054833567,328.1892431385802,330.8736511804716,332.1665471732226,333.3164480116526,333.3963430918095,333.1529857027492,332.8266110442255,322.7534036593438
95,338.24309092909016,337.7473489192324,338.32523628828335,337.7473756063931,338.0744387635094,338.07104141212415,338.0774900110623,338.3979973922437,338.4083293771163,337.74737560748054,337.0864181314238
96,243.65174079660187,244.3683758787762,244.12929175699895,236.96264777913598,244.54752875507833,243.65132541068073,236.96327964764913,244.5997463933072,240.78526802940434,244.60725641115994,242.69626205261716
97,51.4528319194814,54.74751197368094,54.82476480171502,54.88302071412464,51.45282747927402,54.454240564564685,54.87632112608148,54.454244604984055,54.77564503636846,54.876314133699054,54.86962083736314
98,123.08882443547745,131.58523317801155,132.56501956441434,132.632733380815,130.56034689117635,132.11461450369015,128.48538954483217,132.50266747372854,132.6002169248107,132.5031631124225,132.11460640804785
99,197.5557918273217,199.91124914127346,199.88769578979466,200.5956959454967,200.30321816592976,200.67071161652092,199.90803699993415,200.59717215261162,199.91124922173583,200.59714476267382,200.6952149325922
100,191.93297222552405,187.39912248803273,190.41714978266901,193.3478967802822,193.43244857024933,193.0634717447794,193.44425547152503,192.68859889978063,193.39693371025913,193.39477833766347,193.05882920849695
101,229.17570936432463,229.1729599519672,227.49615952079358,222.11620234421449,228.83499473011082,228.39112713999145,229.17471015033283,229.287673650687,222.12242937602005,214.9571939537441,225.68494702473254
102,185.89051933079003,185.83868704569682,185.19999020037667,185.18140665519627,185.93591899176727,185.52412126605293,185.84186640277431,185.88580706288394,185.84512996880306,185.57276204207423,185.75434074473145
103,235.91328215501548,243.28756593737592,243.40773413810265,241.62863122439893,243.47082550654426,243.5237772480392,243.4627900071316,243.28424025682332,243.29340553653265,243.5312290463051,243.4123164767404
104,320.534427902654,325.6121222557837,324.33929129506635,325.46192846153497,323.07835250563335,320.5344304242296,325.5427369510435,325.303620486265,325.46325233653556,325.6222785666848,325.3030507118963
105,232.65903259860733,231.75020796623642,232.59864592692588,229.02356243245248,230.84119283419017,231.7074877071484,232.60223107555328,230.84122763735166,232.43182199506208,232.2041460438423,232.54441317168258
106,250.8168654017752,247.38101490360708,251.27569487451882,251.2459713710948,251.18497698928385,251.30770083120535,250.32600133891358,251.27691246807638,249.34432730701633,246.82730364753962,247.38097667702692
107,348.698683630877,354.2792036379893,348.8296811666073,354.00517763209973,354.19378912236084,354.36141255610914,332.14405574381965,354.3668198052235,354.27822170392915,343.2900067409157,351.5982066665296
108,293.6592932190475,303.280750926506,303.2168458274931,302.69600587267513,302.69852576043627,303.2908915007623,302.69848125486055,302.68955720146414,284.33519912865694,303.25379421294576,302.1048282329314
109,286.4474138247707,286.30575842073347,286.1676545645038,286.37747937419954,286.37729637860343,286.16734823267416,286.44304025582744,285.3197610615756,285.32827615671783,286.307546923166,285.3271397831801
110,250.31172365762853,250.25061119335078,249.82283356632638,248.33830074902136,249.33251528599712,250.0672781376708,249.3339387589952,249.33371243918953,250.18949377244093,248.35198242310054,249.33394288179068
111,130.85849156511523,130.79459404595846,130.85746537514544,130.79457883142146,114.28736008124181,129.8361594871018,130.8544909619339,130.34552504558835,130.73060632656995,130.7306604021503,128.81382617735912
112,97.08974245069652,93.99795500432563,96.89854621352784,95.57271515809852,97.06603553342637,96.710401159674,97.04195568910441,97.0778894345229,94.05568799911205,94.05376697011445,97.04190132208139
113,118.00419645761006,118.00419545996871,118.11903585837119,118.23345144303104,114.54215261076064,114.54215112339983,118.12159295407871,118.23342223760139,118.2370607762953,114.45927408572018,114.48085839918642
114,135.18671114994112,134.1334565669971,133.0206545918521,135.123871514139,135.1899097426667,134.9258669502001,118.26825606795441,135.17339350329024,135.12360314213905,134.66182415534993,134.1310908053174
115,224.6994889758108,213.99983800884394,228.26649387610007,199.73318125793978,228.25951756383034,228.2358428574727,228.15503561571677,226.48316189269187,224.6998297074395,224.69935202797535,221.13316594247195
